Name,Price
Scottie Scheffler,11500
Rory McIlroy,10900
Tommy Fleetwood,10100
Xander Schauffele,9700
Matt Fitzpatrick,9400
Hideki Matsuyama,9300
Russell Henley,9300
Collin Morikawa,9200
Si Woo Kim,9200
Cameron Young,9100
Patrick Cantlay,9100
Robert MacIntyre,9100
Ben Griffin,8900
Harris English,8900
Jake Knapp,8800
Viktor Hovland,8800
Sam Burns,8600
Ludvig Aberg,8600
Kurt Kitayama,8500
Chris Gotterup,8400
Rickie Fowler,8400
Maverick McNealy,8300
Adam Scott,8200
Shane Lowry,8200
Justin Thomas,8100
Jason Day,7900
Min Woo Lee,7900
Justin Rose,7800
Jordan Spieth,7800
Keegan Bradley,7800
Pierceson Coody,7800
J.J. Spaun,7800
Jacob Bridgeman,7800
Akshay Bhatia,7700
Alexander Noren,7700
Nick Taylor,7700
Harry Hall,7600
Ryan Gerard,7600
Sepp Straka,7600
Nicolai Hojgaard,7500
Corey Conners,7500
Michael Thorbjornsen,7500
Sam Stevens,7500
Taylor Pendrith,7500
Daniel Berger,7300
Sahith Theegala,7200
J.T. Poston,7100
Matthew McCarty,7100
Ryan Fox,7100
Sungjae Im,7100
Denny McCarthy,7000
Chris Kirk,7000
Hao-Tong Li,7000
Patrick Rodgers,7000
Ryo Hisatsune,6900
Tony Finau,6900
Brian Harman,6900
Stephan Jaeger,6900
Michael Kim,6800
Aldrich Potgieter,6700
Bud Cauley,6700
Andrew Novak,6600
Kevin Roy,6600
Lucas Glover,6600
Tom Hoge,6600
Billy Horschel,6500
Andrew Putnam,6300
Jhonattan Vegas,6200
Daniel Bennett,6000
Brian Campbell,6000
