Name,Price
Scottie Scheffler,11400
Rory McIlroy,11100
Bryson DeChambeau,10800
Jon Rahm,10600
Ludvig Aberg,10200
Xander Schauffele,10000
Tommy Fleetwood,10000
Collin Morikawa,9700
Cameron Young,9400
Matt Fitzpatrick,9200
Justin Rose,9200
Patrick Reed,9200
Hideki Matsuyama,8900
Chris Gotterup,8900
Viktor Hovland,8900
Brooks Koepka,8700
Jordan Spieth,8600
Robert MacIntyre,8600
Justin Thomas,8600
Tyrrell Hatton,8600
Shane Lowry,8300
Patrick Cantlay,8000
Ben Griffin,7800
Si Woo Kim,7700
Akshay Bhatia,7700
Jake Knapp,7700
Corey Conners,7700
Russell Henley,7600
Min Woo Lee,7600
Adam Scott,7600
Sepp Straka,7600
Jason Day,7600
Sam Burns,7600
Cameron Smith,7600
Daniel Berger,7600
Max Homa,7600
Gary Woodland,7400
Sungjae Im,7400
Marco Penge,7400
Wyndham Clark,7400
J.J. Spaun,7300
Jacob Bridgeman,7300
Harris English,7300
Dustin Johnson,7300
Maverick McNealy,7100
Matthew McCarty,7100
Alexander Noren,7100
Ryan Gerard,7100
Sergio Garcia,7100
Nicolai Hojgaard,7000
Kurt Kitayama,7000
Keegan Bradley,7000
Harry Hall,7000
Aaron Rai,7000
Ryan Fox,7000
Tom McKibbin,7000
Rasmus Neergaard-Petersen,7000
John Keefer,7000
Rasmus Hojgaard,6900
Brian Harman,6900
Sam Stevens,6900
Carlos Ortiz,6900
Casey Jarvis,6700
Nicolas Echavarria,6700
Michael Kim,6700
Andrew Novak,6700
Aldrich Potgieter,6700
Nick Taylor,6600
Max Greyserman,6600
Hao-Tong Li,6600
Bubba Watson,6600
Kristoffer Reitan,6500
Sami Valimaki,6500
Davis Riley,6500
Michael Brennan,6400
Charl Schwartzel,6400
Zach Johnson,6400
Brian Campbell,6400
Danny Willett,6300
Angel Cabrera,6300
Ethan Fang,6000
Fifa Laopakdee,6000
Jackson Herrington,6000
Mason Howell,6000
Mateo Pulcini,6000
Naoyuki Kataoka,6000
Vijay Singh,6000
Brandon Holtz,6000
Fred Couples,6000
Jose Maria Olazabal,6000
Mike Weir,6000
