Name,Price
Scottie Scheffler,11500
Rory McIlroy,10900
Cameron Young,10500
Xander Schauffele,10000
Ludvig Aberg,9800
Matt Fitzpatrick,9800
Si Woo Kim,9600
Patrick Cantlay,9500
Russell Henley,9500
Tommy Fleetwood,9400
Robert MacIntyre,9100
Rickie Fowler,8700
Min Woo Lee,8700
Sam Burns,8600
Ben Griffin,8200
Hideki Matsuyama,8200
Jordan Spieth,8200
Justin Thomas,8200
Adam Scott,8100
Chris Gotterup,7800
Maverick McNealy,7800
Nicolai Hojgaard,7800
Kurt Kitayama,7800
Harris English,7800
J.J. Spaun,7700
Jake Knapp,7700
Justin Rose,7700
Jason Day,7600
Sepp Straka,7600
Aaron Rai,7500
Akshay Bhatia,7500
Jacob Bridgeman,7500
Shane Lowry,7500
Alex Smalley,7500
Gary Woodland,7300
Wyndham Clark,7300
Sahith Theegala,7300
Kristoffer Reitan,7200
Ryo Hisatsune,7200
Mac Meissner,7100
Sam Stevens,7100
Harry Hall,7100
Pierceson Coody,7100
Corey Conners,7100
Alexander Noren,7100
J.T. Poston,7100
Keegan Bradley,7100
Nick Taylor,7000
Ryan Gerard,7000
Daniel Berger,7000
Bud Cauley,7000
Ryan Fox,6900
Sungjae Im,6900
Alex Fitzpatrick,6900
Denny McCarthy,6900
Taylor Pendrith,6800
Matthew McCarty,6800
Brian Harman,6800
Eric Cole,6800
Tony Finau,6800
Andrew Novak,6700
Michael Kim,6700
Patrick Rodgers,6700
Nicolas Echavarria,6400
Jhonattan Vegas,6300
Billy Horschel,6300
Brandt Snedeker,6300
Matt Kuchar,6300
Lucas Glover,6300
Mark Hubbard,6100
Tom Hoge,6100
Brian Campbell,6000
