Name,Price
Scottie Scheffler,11400
Rory McIlroy,11100
Bryson DeChambeau,10800
Jon Rahm,10600
Cameron Young,10200
Xander Schauffele,10200
Ludvig Aberg,9800
Matt Fitzpatrick,9800
Collin Morikawa,9700
Tommy Fleetwood,9500
Justin Thomas,9500
Brooks Koepka,9000
Justin Rose,8900
Viktor Hovland,8900
Tyrrell Hatton,8900
Hideki Matsuyama,8600
Chris Gotterup,8600
Patrick Cantlay,8300
Joaquin Niemann,8300
Robert MacIntyre,8000
Jordan Spieth,8000
Patrick Reed,8000
Ben Griffin,8000
Russell Henley,7700
Si Woo Kim,7700
Sam Burns,7700
Shane Lowry,7700
Corey Conners,7700
Marco Penge,7700
Sepp Straka,7600
Sungjae Im,7600
Jayden Trey Schaper,7500
Maverick McNealy,7400
Jason Day,7400
J.J. Spaun,7400
Harris English,7400
Min Woo Lee,7300
Akshay Bhatia,7300
Max Homa,7300
Rickie Fowler,7100
David Puig,7100
Gary Woodland,7100
Jacob Bridgeman,7100
Keegan Bradley,7100
Wyndham Clark,7100
Daniel Berger,7100
Cameron Smith,7100
Adam Scott,7000
Sahith Theegala,7000
Ryan Gerard,7000
Dustin Johnson,7000
Aaron Rai,7000
Jordan L. Smith,7000
Taylor Pendrith,7000
Hao-Tong Li,7000
Max McGreevy,7000
John Parry,7000
Kurt Kitayama,6900
Nicolai Hojgaard,6900
Michael Thorbjornsen,6900
Kristoffer Reitan,6900
Sudarshan Yellamaraju,6900
Harry Hall,6900
Alexander Noren,6900
Keith Mitchell,6900
Rasmus Hojgaard,6900
Brian Harman,6900
J.T. Poston,6900
Ryan Fox,6900
Denny McCarthy,6900
Michael Kim,6900
Austin Smotherman,6900
Andrew Novak,6800
Daniel Brown,6800
Adrien Saddier,6800
Thomas Detry,6700
Sam Stevens,6700
Pierceson Coody,6700
Bud Cauley,6700
Ryo Hisatsune,6700
Michael Brennan,6700
Max Greyserman,6700
Stephan Jaeger,6700
Aldrich Potgieter,6700
Billy Horschel,6700
Lucas Glover,6700
Andy Sullivan,6700
Davis Riley,6700
Brandt Snedeker,6600
Tom McKibbin,6600
Rico Hoey,6600
Ricky Castillo,6600
Rasmus Neergaard-Petersen,6600
Casey Jarvis,6600
John Keefer,6600
Sami Valimaki,6600
Stewart Cink,6600
Alex Fitzpatrick,6500
Alex Smalley,6500
Nick Taylor,6500
Patrick Rodgers,6500
Chris Kirk,6500
William Mouw,6500
Matthias Schmid,6500
Andrew Putnam,6500
Jhonattan Vegas,6500
Mikael Lindberg,6500
Bernd Wiesberger,6500
Angel Ayora Fanegas,6400
Matthew McCarty,6400
Matt Wallace,6400
Christiaan Bezuidenhout,6400
Daniel Hillier,6400
Ian Holt,6400
Garrick Higgo,6400
Nicolas Echavarria,6400
Elvis Smylie,6400
Kota Kaneko,6400
Chandler Blanchet,6400
Steven Fisk,6300
Emiliano Grillo,6300
David Lipsky,6300
Travis Smyth,6300
Jordan Gumberg,6300
Tom Hoge,6200
Joe Highsmith,6000
Adam Schenk,6000
Brian Campbell,6000
Martin Kaymer,6000
Kazuki Higa,6000
Padraig Harrington,6000
Austin Hurt,6000
Ben Kern,6000
Ben Polland,6000
Braden Shattuck,6000
Bryce Fisher,6000
Chris Gabriele,6000
Derek Berg,6000
Francisco Bide,6000
Garrett Sapp,6000
Jared Jones,6000
Jason Dufner,6000
Jesse Droemer,6000
Jimmy Walker,6000
Luke Donald,6000
Mark Geddes,6000
Michael Block,6000
Michael Kartrude,6000
Paul McClure,6000
Ryan Lenahan,6000
Ryan Vermeer,6000
Shaun Micheel,6000
Timothy Wiseman,6000
Tyler Collet,6000
Y.E. Yang,6000
Zach Haynes,6000
