Name,Price
Scottie Scheffler,11500
Rory McIlroy,10800
Tommy Fleetwood,10000
Xander Schauffele,9500
Hideki Matsuyama,9200
Collin Morikawa,9100
Si Woo Kim,9100
Russell Henley,9000
Ben Griffin,9000
Cameron Young,8900
Justin Rose,8900
Viktor Hovland,8700
Chris Gotterup,8600
Patrick Cantlay,8600
Robert MacIntyre,8600
Maverick McNealy,8500
Ludvig Aberg,8300
Matt Fitzpatrick,8300
Justin Thomas,8200
J.J. Spaun,8100
Shane Lowry,8000
Sam Burns,7900
Brooks Koepka,7800
Jake Knapp,7800
Min Woo Lee,7800
Harris English,7800
Michael Thorbjornsen,7800
Rickie Fowler,7700
Jason Day,7700
Keegan Bradley,7700
Max Homa,7700
Akshay Bhatia,7600
Sepp Straka,7600
Adam Scott,7600
Jordan Spieth,7600
Jacob Bridgeman,7600
Nicolai Hojgaard,7600
Rasmus Hojgaard,7600
Taylor Pendrith,7600
Kurt Kitayama,7500
Harry Hall,7500
Pierceson Coody,7500
Daniel Berger,7400
Ryan Gerard,7400
Corey Conners,7300
Sam Stevens,7300
Alexander Noren,7200
Keith Mitchell,7100
Aaron Rai,7100
Wyndham Clark,7100
Davis Thompson,7100
Nick Taylor,7100
Marco Penge,7100
Thorbjorn Olesen,7100
Matthew McCarty,7100
J.T. Poston,7100
Denny McCarthy,7100
Sahith Theegala,7000
Christiaan Bezuidenhout,7000
Sungjae Im,7000
Brian Harman,7000
Rico Hoey,7000
Kristoffer Reitan,6900
Max Greyserman,6900
Hao-Tong Li,6900
Mac Meissner,6900
Max McGreevy,6900
Patrick Rodgers,6900
Ryo Hisatsune,6900
Michael Kim,6900
Stephan Jaeger,6900
Garrick Higgo,6900
Kevin Yu,6900
Tony Finau,6800
Alex Smalley,6800
Ricky Castillo,6700
Jordan L. Smith,6700
John Keefer,6700
Chris Kirk,6700
Ryan Fox,6600
Nicolas Echavarria,6600
Mackenzie Hughes,6600
Bud Cauley,6600
Aldrich Potgieter,6600
Andrew Novak,6600
Vince Whaley,6600
Emiliano Grillo,6600
Sami Valimaki,6600
Taylor Moore,6600
Lucas Glover,6600
Seamus Power,6500
Michael Brennan,6500
Eric Cole,6500
Lee Hodges,6500
Kevin Roy,6400
Chad Ramey,6400
Tom Hoge,6400
Steven Fisk,6400
Matthias Schmid,6400
Joel Dahmen,6400
Seonghyeon Kim,6400
Gary Woodland,6400
William Mouw,6300
Austin Smotherman,6300
Mark Hubbard,6300
Takumi Kanaya,6300
Chandler Phillips,6300
Jhonattan Vegas,6300
Karl Vilips,6300
Zecheng Dou,6200
A.J. Ewart,6200
Matthieu Pavon,6200
Andrew Putnam,6200
Erik van Rooyen,6200
Sudarshan Yellamaraju,6100
Davis Riley,6100
Patton Kizzire,6100
Zachary Bauchou,6000
Adam Schenk,6000
Danny Walker,6000
Brian Campbell,6000
Cameron Davis,6000
Joe Highsmith,6000
