Name,Price
Scottie Scheffler,11400
Xander Schauffele,10300
Tommy Fleetwood,10000
Cameron Young,9800
Matt Fitzpatrick,9800
Ludvig Aberg,9700
Patrick Cantlay,9700
Russell Henley,9700
Collin Morikawa,9500
Sam Burns,9400
Jake Knapp,9000
Justin Thomas,8900
Robert MacIntyre,8900
Jordan Spieth,8600
Maverick McNealy,8600
Shane Lowry,8600
Si Woo Kim,8600
Viktor Hovland,8600
Ben Griffin,8300
Chris Gotterup,8300
Jacob Bridgeman,8300
Jason Day,8300
Harris English,7700
Sepp Straka,7700
Akshay Bhatia,7700
J.J. Spaun,7700
Min Woo Lee,7700
Rickie Fowler,7700
Harry Hall,7600
Ryo Hisatsune,7600
Alexander Noren,7400
Kurt Kitayama,7400
Nicolai Hojgaard,7400
Ryan Gerard,7400
Sahith Theegala,7400
Sam Stevens,7400
Sudarshan Yellamaraju,7400
Wyndham Clark,7400
Michael Thorbjornsen,7400
Brian Harman,7100
Corey Conners,7100
Daniel Berger,7100
J.T. Poston,7100
Keegan Bradley,7100
Marco Penge,7100
Max Homa,7100
Nick Taylor,7100
Sungjae Im,7100
Billy Horschel,7000
Gary Woodland,7000
Matthew McCarty,7000
Pierceson Coody,7000
Ricky Castillo,7000
Taylor Pendrith,7000
Andrew Novak,6900
Matt Wallace,6900
Nicolas Echavarria,6900
Bud Cauley,6800
Denny McCarthy,6800
Jordan L. Smith,6800
Michael Brennan,6800
Michael Kim,6800
Tony Finau,6800
John Keefer,6600
Patrick Rodgers,6600
Ryan Fox,6600
Austin Smotherman,6600
Chandler Blanchet,6600
Andrew Putnam,6400
Sami Valimaki,6300
William Mouw,6300
Garrick Higgo,6200
Jhonattan Vegas,6200
Karl Vilips,6200
Lucas Glover,6200
Steven Fisk,6200
Adam Schenk,6000
Aldrich Potgieter,6000
Brian Campbell,6000
David Lipsky,6000
Joe Highsmith,6000
Tom Hoge,6000
