Name,Price
Scottie Scheffler,11400
Xander Schauffele,10300
Cameron Young,10000
Ludvig Aberg,9900
Sam Burns,9900
Tommy Fleetwood,9900
Matt Fitzpatrick,9800
Wyndham Clark,9600
Collin Morikawa,9200
Si Woo Kim,9200
Maverick McNealy,9100
Patrick Cantlay,9100
Justin Thomas,9000
Chris Gotterup,8900
Russell Henley,8600
Ben Griffin,8500
Harris English,8300
Kurt Kitayama,8300
Viktor Hovland,8300
Jordan Spieth,8200
Min Woo Lee,8200
Robert MacIntyre,8200
Jake Knapp,8100
J.J. Spaun,8000
Justin Rose,8000
Keegan Bradley,8000
Adam Scott,7800
Kristoffer Reitan,7800
Gary Woodland,7800
Keith Mitchell,7700
Nicolai Hojgaard,7700
Akshay Bhatia,7700
Alex Fitzpatrick,7700
Shane Lowry,7600
Aaron Rai,7600
J.T. Poston,7600
Jacob Bridgeman,7600
Sahith Theegala,7600
Alexander Noren,7500
Ryan Gerard,7500
Sam Stevens,7400
Bud Cauley,7300
Hideki Matsuyama,7300
Alex Smalley,7300
Brian Harman,7300
Ryan Fox,7200
Eric Cole,7200
Sepp Straka,7200
Rickie Fowler,7100
Ryo Hisatsune,7100
Corey Conners,7100
Harry Hall,7100
Michael Kim,7100
Sungjae Im,7100
Jason Day,7100
Taylor Pendrith,7000
Tony Finau,7000
Andrew Novak,7000
Mac Meissner,7000
Nick Taylor,6900
Daniel Berger,6800
Denny McCarthy,6800
Matthew McCarty,6700
Jackson Suber,6700
Nicolas Echavarria,6600
Benjamin James,6600
Jhonattan Vegas,6300
Lucas Glover,6300
Mark Hubbard,6300
Tom Hoge,6300
Brandt Snedeker,6200
Brian Campbell,6000
