Name,Price
Rory McIlroy,11200
Cameron Young,10900
Xander Schauffele,10600
Matt Fitzpatrick,10100
Ludvig Aberg,10000
Tommy Fleetwood,9600
Si Woo Kim,9500
Patrick Cantlay,9300
Rickie Fowler,9300
Robert MacIntyre,9200
Sam Burns,9200
Adam Scott,9100
Viktor Hovland,9000
Hideki Matsuyama,8900
Maverick McNealy,8700
Harris English,8600
Jordan Spieth,8600
Jason Day,8500
Ben Griffin,8500
Jake Knapp,8500
Chris Gotterup,8400
Sepp Straka,8400
J.J. Spaun,8300
Min Woo Lee,8300
Justin Thomas,8200
Akshay Bhatia,7900
Kurt Kitayama,7900
Nicolai Hojgaard,7800
Keegan Bradley,7700
Gary Woodland,7700
Justin Rose,7700
Alexander Noren,7600
Jacob Bridgeman,7600
Harry Hall,7500
Alex Smalley,7500
Sam Stevens,7500
Corey Conners,7500
Ryan Gerard,7400
Daniel Berger,7400
Nick Taylor,7300
Matthew McCarty,7200
Bud Cauley,7100
Pierceson Coody,7100
Brian Harman,7100
Kristoffer Reitan,7100
Sahith Theegala,7100
Max Homa,7100
Ryan Fox,7100
Ryo Hisatsune,7100
J.T. Poston,7100
Taylor Pendrith,7000
Denny McCarthy,7000
Matt Wallace,7000
Ricky Castillo,7000
Sudarshan Yellamaraju,7000
Michael Kim,7000
Aldrich Potgieter,6900
Alex Fitzpatrick,6900
Sungjae Im,6800
Patrick Rodgers,6700
Tony Finau,6700
Lucas Glover,6700
Andrew Novak,6700
Mackenzie Hughes,6700
Webb Simpson,6600
Andrew Putnam,6500
Jhonattan Vegas,6400
Nicolas Echavarria,6300
Tom Hoge,6300
Chandler Blanchet,6300
David Lipsky,6200
Brian Campbell,6000
