Name,Price
Scottie Scheffler,11400
Rory McIlroy,11000
Jon Rahm,10600
Bryson DeChambeau,10200
Cameron Young,10000
Xander Schauffele,10000
Ludvig Aberg,9800
Matt Fitzpatrick,9800
Tommy Fleetwood,9800
Collin Morikawa,9300
Justin Rose,8900
Justin Thomas,8900
Tyrrell Hatton,8900
Chris Gotterup,8600
Hideki Matsuyama,8600
Patrick Reed,8600
Russell Henley,8600
Viktor Hovland,8600
Patrick Cantlay,8300
Ben Griffin,8000
Jordan Spieth,8000
Robert MacIntyre,8000
Joaquin Niemann,7800
Sam Burns,7800
Shane Lowry,7800
J.J. Spaun,7700
Si Woo Kim,7700
Wyndham Clark,7700
Maverick McNealy,7600
Kristoffer Reitan,7500
Aaron Rai,7400
Akshay Bhatia,7400
Alex Smalley,7400
Corey Conners,7400
Gary Woodland,7400
Harris English,7400
Sungjae Im,7400
Kurt Kitayama,7300
Min Woo Lee,7300
Sepp Straka,7300
Adam Scott,7100
Daniel Berger,7100
David Puig,7100
Jacob Bridgeman,7100
Jake Knapp,7100
Jason Day,7100
Keegan Bradley,7100
Cameron Smith,7000
Nicolai Hojgaard,7000
Rickie Fowler,7000
Ryan Gerard,7000
Alex Fitzpatrick,7000
Ryan Fox,7000
Sahith Theegala,7000
Carlos Ortiz,7000
Alexander Noren,6900
Brian Harman,6900
Dustin Johnson,6900
J.T. Poston,6900
Keith Mitchell,6900
Michael Kim,6900
Tom Kim,6900
Lucas Herbert,6900
Pierceson Coody,6900
Davis Thompson,6800
Andrew Novak,6800
Billy Horschel,6700
Harry Hall,6700
Jackson Koivun,6700
Max Greyserman,6700
Ryo Hisatsune,6700
Sam Stevens,6700
Andrew Putnam,6600
Max McGreevy,6600
Michael Brennan,6600
Benjamin James,6600
Jayden Trey Schaper,6600
John Keefer,6600
Kevin Roy,6600
Matthias Schmid,6600
Nick Taylor,6600
Sudarshan Yellamaraju,6600
Emiliano Grillo,6500
Jackson Suber,6500
Matthew Jordan,6500
William Mouw,6500
Ben Kohles,6500
Chris Kirk,6500
John Parry,6500
Patrick Rodgers,6500
Preston Stout,6500
Zac Blair,6500
Adrien Dumont De Chassart,6400
Caleb Surratt,6400
Laurie Canter,6400
Matthew McCarty,6400
Miles Russell,6400
Nathan Kimsey,6400
Neal Shipley,6400
Nicolas Echavarria,6400
Peter Uihlein,6400
Cole Hammer,6300
Dylan Wu,6300
James Nicholas,6300
Ben Silverman,6300
Nick Hardy,6300
Niklas Norgaard Moller,6300
Taylor Montgomery,6300
Adrien Saddier,6200
Angel Hidalgo,6200
Brandon Wu,6200
Carl Yuan,6200
Cooper Dossey,6200
Graeme McDowell,6200
Jimmy Stanger,6200
Padraig Harrington,6200
Ugo Coussaud,6200
Alejandro Tosti,6200
Jackson Van Paris,6200
Rocco Repetto Taylor,6200
Taihei Sato,6200
Filippo Celli,6000
T.K. Kim,6000
Brandon Holtz,6000
Ethan Fang,6000
Jackson Herrington,6000
Manav Shah,6000
Marcelo Rozo,6000
Mason Howell,6000
Giuseppe Puebla,6000
J.B. Holmes,6000
Jake Peacock,6000
Kaito Onishi,6000
Mateo Pulcini,6000
Ryuichi Oiwa,6000
Arni Sveinsson,6000
Chase Kyes,6000
Eric Lee,6000
Greyson Leach,6000
Hamilton Coleman,6000
Jake Sollon,6000
Logan Reilly,6000
Marek Fleming,6000
Matthew Robles,6000
Robbie Higgins,6000
Ryder Cowan,6000
Vaughn Harber,6000
Jackson Ormond,6000
